"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"1921","Native",1,38,"spillover1","fp","spillover1 fp",6,0,790,790,-0.5,-0.5
"1923","Native",1,39,"spillover1","fp","spillover1 fp",7,0,232,232,0.5,0.5
"1925","Native",1,26,"spillover1","fp","spillover1 fp",6,0,558,558,-0.5,-0.5
"1927","Native",1,34,"spillover1","fp","spillover1 fp",6,0,172,172,-0.5,-0.5
"1929","Native",1,46,"spillover1","fp","spillover1 fp",6,0,176,176,-0.5,-0.5
"1931","Native",1,29,"spillover1","fp","spillover1 fp",5,0,171,171,0.5,-0.5
"1933","Native",1,36,"spillover1","fp","spillover1 fp",8,0,467,467,-0.5,0.5
"1935","Native",1,30,"spillover1","fp","spillover1 fp",6,0,200,200,-0.5,-0.5
"1937","Native",1,40,"spillover1","fp","spillover1 fp",8,0,173,173,-0.5,0.5
"1939","Native",1,33,"spillover1","fp","spillover1 fp",5,0,222,222,0.5,-0.5
"1941","Native",1,43,"spillover1","fp","spillover1 fp",7,0,1260,1260,0.5,0.5
"1943","Native",1,28,"spillover1","fp","spillover1 fp",8,0,821,821,-0.5,0.5
"1945","Native",1,31,"spillover1","fp","spillover1 fp",7,0,161,161,0.5,0.5
"1947","Native",1,45,"spillover1","fp","spillover1 fp",5,0,831,831,0.5,-0.5
"1949","Native",1,25,"spillover1","fp","spillover1 fp",5,0,172,172,0.5,-0.5
"1951","Native",1,41,"spillover1","fp","spillover1 fp",5,0,336,336,0.5,-0.5
"1953","Native",1,42,"spillover1","fp","spillover1 fp",6,0,297,297,-0.5,-0.5
"1955","Native",1,37,"spillover1","fp","spillover1 fp",5,0,963,963,0.5,-0.5
"1957","Native",1,32,"spillover1","fp","spillover1 fp",8,0,415,415,-0.5,0.5
"1959","Native",1,48,"spillover1","fp","spillover1 fp",8,0,214,214,-0.5,0.5
"1961","Native",1,47,"spillover1","fp","spillover1 fp",7,0,201,201,0.5,0.5
"1963","Native",1,44,"spillover1","fp","spillover1 fp",8,0,237,237,-0.5,0.5
"1965","Native",1,27,"spillover1","fp","spillover1 fp",7,0,203,203,0.5,0.5
