"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"32641","Native",1,38,"wrap_up","tt","wrap_up tt",6,0,429,429,-0.5,-0.5
"32643","Native",1,39,"wrap_up","tt","wrap_up tt",7,0,343,343,0.5,0.5
"32645","Native",1,26,"wrap_up","tt","wrap_up tt",6,0,503,503,-0.5,-0.5
"32647","Native",1,34,"wrap_up","tt","wrap_up tt",6,0,672,672,-0.5,-0.5
"32649","Native",1,46,"wrap_up","tt","wrap_up tt",6,0,459,459,-0.5,-0.5
"32651","Native",1,29,"wrap_up","tt","wrap_up tt",5,0,424,424,0.5,-0.5
"32653","Native",1,36,"wrap_up","tt","wrap_up tt",8,0,1163,1163,-0.5,0.5
"32655","Native",1,30,"wrap_up","tt","wrap_up tt",6,0,542,542,-0.5,-0.5
"32657","Native",1,40,"wrap_up","tt","wrap_up tt",8,0,439,439,-0.5,0.5
"32659","Native",1,33,"wrap_up","tt","wrap_up tt",5,0,196,196,0.5,-0.5
"32661","Native",1,43,"wrap_up","tt","wrap_up tt",7,0,598,598,0.5,0.5
"32663","Native",1,28,"wrap_up","tt","wrap_up tt",8,0,185,185,-0.5,0.5
"32665","Native",1,31,"wrap_up","tt","wrap_up tt",7,0,311,311,0.5,0.5
"32667","Native",1,45,"wrap_up","tt","wrap_up tt",5,0,495,495,0.5,-0.5
"32669","Native",1,25,"wrap_up","tt","wrap_up tt",5,0,191,191,0.5,-0.5
"32671","Native",1,41,"wrap_up","tt","wrap_up tt",5,0,1385,1385,0.5,-0.5
"32673","Native",1,42,"wrap_up","tt","wrap_up tt",6,0,219,219,-0.5,-0.5
"32675","Native",1,37,"wrap_up","tt","wrap_up tt",5,0,949,949,0.5,-0.5
"32677","Native",1,32,"wrap_up","tt","wrap_up tt",8,0,323,323,-0.5,0.5
"32679","Native",1,48,"wrap_up","tt","wrap_up tt",8,0,743,743,-0.5,0.5
"32681","Native",1,47,"wrap_up","tt","wrap_up tt",7,0,178,178,0.5,0.5
"32683","Native",1,44,"wrap_up","tt","wrap_up tt",8,0,1090,1090,-0.5,0.5
"32685","Native",1,27,"wrap_up","tt","wrap_up tt",7,0,432,432,0.5,0.5
"32687","Native",1,35,"wrap_up","tt","wrap_up tt",7,1,0,NA,0.5,0.5
"32689","Native",2,46,"wrap_up","tt","wrap_up tt",7,1,0,NA,0.5,0.5
"32691","Native",2,25,"wrap_up","tt","wrap_up tt",6,0,154,154,-0.5,-0.5
"32693","Native",2,39,"wrap_up","tt","wrap_up tt",8,0,163,163,-0.5,0.5
"32695","Native",2,38,"wrap_up","tt","wrap_up tt",7,1,0,NA,0.5,0.5
"32697","Native",2,30,"wrap_up","tt","wrap_up tt",7,0,183,183,0.5,0.5
"32699","Native",2,27,"wrap_up","tt","wrap_up tt",8,0,435,435,-0.5,0.5
"32701","Native",2,29,"wrap_up","tt","wrap_up tt",6,0,655,655,-0.5,-0.5
"32703","Native",2,33,"wrap_up","tt","wrap_up tt",6,1,0,NA,-0.5,-0.5
"32705","Native",2,32,"wrap_up","tt","wrap_up tt",5,0,128,128,0.5,-0.5
"32707","Native",2,43,"wrap_up","tt","wrap_up tt",8,0,376,376,-0.5,0.5
"32709","Native",2,45,"wrap_up","tt","wrap_up tt",6,1,0,NA,-0.5,-0.5
"32711","Native",2,48,"wrap_up","tt","wrap_up tt",5,0,195,195,0.5,-0.5
