"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"26882","Native",1,24,"reflexive","tt","reflexive tt",4,0,177,177,-0.5,0.5
"26884","Native",1,12,"reflexive","tt","reflexive tt",4,0,654,654,-0.5,0.5
"26886","Native",1,6,"reflexive","tt","reflexive tt",2,0,324,324,0.5,0.5
"26888","Native",1,7,"reflexive","tt","reflexive tt",3,0,661,661,-0.5,-0.5
"26890","Native",1,14,"reflexive","tt","reflexive tt",2,0,463,463,0.5,0.5
"26892","Native",1,21,"reflexive","tt","reflexive tt",1,0,383,383,0.5,-0.5
"26894","Native",1,19,"reflexive","tt","reflexive tt",3,0,346,346,-0.5,-0.5
"26896","Native",1,17,"reflexive","tt","reflexive tt",1,0,547,547,0.5,-0.5
"26898","Native",1,10,"reflexive","tt","reflexive tt",2,0,592,592,0.5,0.5
"26900","Native",1,23,"reflexive","tt","reflexive tt",3,0,926,926,-0.5,-0.5
"26902","Native",1,15,"reflexive","tt","reflexive tt",3,0,487,487,-0.5,-0.5
"26904","Native",1,1,"reflexive","tt","reflexive tt",1,0,317,317,0.5,-0.5
"26906","Native",1,2,"reflexive","tt","reflexive tt",2,0,659,659,0.5,0.5
"26908","Native",1,5,"reflexive","tt","reflexive tt",1,0,179,179,0.5,-0.5
"26910","Native",1,16,"reflexive","tt","reflexive tt",4,0,448,448,-0.5,0.5
"26912","Native",1,3,"reflexive","tt","reflexive tt",3,0,224,224,-0.5,-0.5
"26914","Native",1,13,"reflexive","tt","reflexive tt",1,0,1196,1196,0.5,-0.5
"26916","Native",1,11,"reflexive","tt","reflexive tt",3,0,191,191,-0.5,-0.5
"26918","Native",1,9,"reflexive","tt","reflexive tt",1,0,203,203,0.5,-0.5
"26920","Native",1,8,"reflexive","tt","reflexive tt",4,0,397,397,-0.5,0.5
"26922","Native",1,4,"reflexive","tt","reflexive tt",4,0,531,531,-0.5,0.5
"26924","Native",1,20,"reflexive","tt","reflexive tt",4,0,898,898,-0.5,0.5
"26926","Native",1,18,"reflexive","tt","reflexive tt",2,0,407,407,0.5,0.5
"26928","Native",1,22,"reflexive","tt","reflexive tt",2,0,763,763,0.5,0.5
"26930","Native",2,14,"reflexive","tt","reflexive tt",3,0,527,527,-0.5,-0.5
"26932","Native",2,4,"reflexive","tt","reflexive tt",1,1,0,NA,0.5,-0.5
"26934","Native",2,19,"reflexive","tt","reflexive tt",4,0,401,401,-0.5,0.5
"26936","Native",2,1,"reflexive","tt","reflexive tt",2,0,263,263,0.5,0.5
"26938","Native",2,5,"reflexive","tt","reflexive tt",2,0,748,748,0.5,0.5
"26940","Native",2,15,"reflexive","tt","reflexive tt",4,0,843,843,-0.5,0.5
"26942","Native",2,7,"reflexive","tt","reflexive tt",4,0,710,710,-0.5,0.5
"26944","Native",2,18,"reflexive","tt","reflexive tt",3,0,179,179,-0.5,-0.5
"26946","Native",2,6,"reflexive","tt","reflexive tt",3,1,0,NA,-0.5,-0.5
"26948","Native",2,22,"reflexive","tt","reflexive tt",3,0,502,502,-0.5,-0.5
"26950","Native",2,10,"reflexive","tt","reflexive tt",3,0,522,522,-0.5,-0.5
"26952","Native",2,8,"reflexive","tt","reflexive tt",1,0,206,206,0.5,-0.5
"26954","Native",2,24,"reflexive","tt","reflexive tt",1,0,172,172,0.5,-0.5
"26956","Native",2,17,"reflexive","tt","reflexive tt",2,0,338,338,0.5,0.5
"26958","Native",2,2,"reflexive","tt","reflexive tt",3,1,0,NA,-0.5,-0.5
"26960","Native",2,11,"reflexive","tt","reflexive tt",4,1,0,NA,-0.5,0.5
"26962","Native",2,3,"reflexive","tt","reflexive tt",4,0,231,231,-0.5,0.5
"26964","Native",2,21,"reflexive","tt","reflexive tt",2,0,138,138,0.5,0.5
"26966","Native",2,20,"reflexive","tt","reflexive tt",1,0,181,181,0.5,-0.5
"26968","Native",2,16,"reflexive","tt","reflexive tt",1,0,188,188,0.5,-0.5
"26970","Native",2,13,"reflexive","tt","reflexive tt",2,0,628,628,0.5,0.5
"26972","Native",2,9,"reflexive","tt","reflexive tt",2,0,560,560,0.5,0.5
"26974","Native",2,12,"reflexive","tt","reflexive tt",1,0,143,143,0.5,-0.5
"26976","Native",2,23,"reflexive","tt","reflexive tt",4,0,581,581,-0.5,0.5
"26977","Native",3,11,"reflexive","tt","reflexive tt",1,0,244,244,0.5,-0.5
"26979","Native",3,21,"reflexive","tt","reflexive tt",3,0,322,322,-0.5,-0.5
"26981","Native",3,2,"reflexive","tt","reflexive tt",4,0,1905,1905,-0.5,0.5
"26983","Native",3,20,"reflexive","tt","reflexive tt",2,0,1701,1701,0.5,0.5
"26985","Native",3,9,"reflexive","tt","reflexive tt",3,0,218,218,-0.5,-0.5
"26987","Native",3,4,"reflexive","tt","reflexive tt",2,0,909,909,0.5,0.5
"26989","Native",3,3,"reflexive","tt","reflexive tt",1,0,321,321,0.5,-0.5
"26991","Native",3,1,"reflexive","tt","reflexive tt",3,0,322,322,-0.5,-0.5
"26993","Native",3,13,"reflexive","tt","reflexive tt",3,0,237,237,-0.5,-0.5
"26995","Native",3,18,"reflexive","tt","reflexive tt",4,0,376,376,-0.5,0.5
"26997","Native",3,7,"reflexive","tt","reflexive tt",1,0,707,707,0.5,-0.5
"26999","Native",3,5,"reflexive","tt","reflexive tt",3,0,634,634,-0.5,-0.5
"27001","Native",3,15,"reflexive","tt","reflexive tt",1,0,154,154,0.5,-0.5
"27003","Native",3,16,"reflexive","tt","reflexive tt",2,0,476,476,0.5,0.5
"27005","Native",3,8,"reflexive","tt","reflexive tt",2,0,244,244,0.5,0.5
"27007","Native",3,22,"reflexive","tt","reflexive tt",4,0,2816,2816,-0.5,0.5
"27009","Native",3,17,"reflexive","tt","reflexive tt",3,0,331,331,-0.5,-0.5
"27011","Native",3,19,"reflexive","tt","reflexive tt",1,0,214,214,0.5,-0.5
"27013","Native",3,23,"reflexive","tt","reflexive tt",1,0,431,431,0.5,-0.5
"27015","Native",3,14,"reflexive","tt","reflexive tt",4,0,666,666,-0.5,0.5
"27017","Native",3,24,"reflexive","tt","reflexive tt",2,0,293,293,0.5,0.5
"27019","Native",3,10,"reflexive","tt","reflexive tt",4,0,212,212,-0.5,0.5
"27021","Native",3,12,"reflexive","tt","reflexive tt",2,0,892,892,0.5,0.5
"27023","Native",3,6,"reflexive","tt","reflexive tt",4,0,676,676,-0.5,0.5
"27025","Native",4,21,"reflexive","tt","reflexive tt",4,0,316,316,-0.5,0.5
"27027","Native",4,14,"reflexive","tt","reflexive tt",1,0,225,225,0.5,-0.5
"27029","Native",4,22,"reflexive","tt","reflexive tt",1,0,162,162,0.5,-0.5
"27031","Native",4,11,"reflexive","tt","reflexive tt",2,0,313,313,0.5,0.5
"27033","Native",4,15,"reflexive","tt","reflexive tt",2,0,162,162,0.5,0.5
"27035","Native",4,23,"reflexive","tt","reflexive tt",2,0,158,158,0.5,0.5
"27037","Native",4,18,"reflexive","tt","reflexive tt",1,0,110,110,0.5,-0.5
"27039","Native",4,6,"reflexive","tt","reflexive tt",1,0,202,202,0.5,-0.5
"27041","Native",4,10,"reflexive","tt","reflexive tt",1,0,125,125,0.5,-0.5
"27043","Native",4,12,"reflexive","tt","reflexive tt",3,0,158,158,-0.5,-0.5
"27045","Native",4,19,"reflexive","tt","reflexive tt",2,0,134,134,0.5,0.5
"27047","Native",4,1,"reflexive","tt","reflexive tt",4,0,161,161,-0.5,0.5
"27049","Native",4,20,"reflexive","tt","reflexive tt",3,0,145,145,-0.5,-0.5
"27051","Native",4,16,"reflexive","tt","reflexive tt",3,0,186,186,-0.5,-0.5
"27053","Native",4,2,"reflexive","tt","reflexive tt",1,0,96,96,0.5,-0.5
"27055","Native",4,5,"reflexive","tt","reflexive tt",4,0,145,145,-0.5,0.5
"27057","Native",4,17,"reflexive","tt","reflexive tt",4,0,222,222,-0.5,0.5
"27059","Native",4,24,"reflexive","tt","reflexive tt",3,0,189,189,-0.5,-0.5
"27061","Native",4,13,"reflexive","tt","reflexive tt",4,0,117,117,-0.5,0.5
"27063","Native",4,8,"reflexive","tt","reflexive tt",3,0,156,156,-0.5,-0.5
"27065","Native",4,9,"reflexive","tt","reflexive tt",4,0,123,123,-0.5,0.5
"27067","Native",4,7,"reflexive","tt","reflexive tt",2,0,82,82,0.5,0.5
"27069","Native",4,4,"reflexive","tt","reflexive tt",3,0,129,129,-0.5,-0.5
"27071","Native",4,3,"reflexive","tt","reflexive tt",2,0,170,170,0.5,0.5
"27074","Native",5,8,"reflexive","tt","reflexive tt",4,0,1331,1331,-0.5,0.5
"27076","Native",5,4,"reflexive","tt","reflexive tt",4,0,996,996,-0.5,0.5
"27078","Native",5,19,"reflexive","tt","reflexive tt",3,1,0,NA,-0.5,-0.5
"27080","Native",5,21,"reflexive","tt","reflexive tt",1,0,759,759,0.5,-0.5
"27082","Native",5,13,"reflexive","tt","reflexive tt",1,0,333,333,0.5,-0.5
"27084","Native",5,9,"reflexive","tt","reflexive tt",1,0,155,155,0.5,-0.5
"27086","Native",5,3,"reflexive","tt","reflexive tt",3,0,161,161,-0.5,-0.5
"27088","Native",5,12,"reflexive","tt","reflexive tt",4,0,273,273,-0.5,0.5
"27090","Native",5,2,"reflexive","tt","reflexive tt",2,0,165,165,0.5,0.5
"27092","Native",5,15,"reflexive","tt","reflexive tt",3,0,378,378,-0.5,-0.5
"27094","Native",5,5,"reflexive","tt","reflexive tt",1,0,151,151,0.5,-0.5
"27096","Native",5,7,"reflexive","tt","reflexive tt",3,0,198,198,-0.5,-0.5
"27098","Native",5,22,"reflexive","tt","reflexive tt",2,0,228,228,0.5,0.5
"27100","Native",5,17,"reflexive","tt","reflexive tt",1,0,266,266,0.5,-0.5
"27102","Native",5,16,"reflexive","tt","reflexive tt",4,0,189,189,-0.5,0.5
"27104","Native",5,1,"reflexive","tt","reflexive tt",1,1,0,NA,0.5,-0.5
"27106","Native",5,14,"reflexive","tt","reflexive tt",2,0,181,181,0.5,0.5
"27108","Native",5,24,"reflexive","tt","reflexive tt",4,0,137,137,-0.5,0.5
"27110","Native",5,23,"reflexive","tt","reflexive tt",3,0,171,171,-0.5,-0.5
"27112","Native",5,18,"reflexive","tt","reflexive tt",2,0,187,187,0.5,0.5
"27114","Native",5,11,"reflexive","tt","reflexive tt",3,1,0,NA,-0.5,-0.5
"27116","Native",5,20,"reflexive","tt","reflexive tt",4,1,0,NA,-0.5,0.5
"27118","Native",5,10,"reflexive","tt","reflexive tt",2,0,212,212,0.5,0.5
"27120","Native",5,6,"reflexive","tt","reflexive tt",2,0,364,364,0.5,0.5
"27121","Native",6,12,"reflexive","tt","reflexive tt",1,0,395,395,0.5,-0.5
"27123","Native",6,14,"reflexive","tt","reflexive tt",3,0,304,304,-0.5,-0.5
"27125","Native",6,5,"reflexive","tt","reflexive tt",2,0,339,339,0.5,0.5
"27127","Native",6,22,"reflexive","tt","reflexive tt",3,0,175,175,-0.5,-0.5
"27129","Native",6,15,"reflexive","tt","reflexive tt",4,0,163,163,-0.5,0.5
"27131","Native",6,17,"reflexive","tt","reflexive tt",2,0,105,105,0.5,0.5
"27133","Native",6,3,"reflexive","tt","reflexive tt",4,0,173,173,-0.5,0.5
"27135","Native",6,2,"reflexive","tt","reflexive tt",3,0,209,209,-0.5,-0.5
"27137","Native",6,9,"reflexive","tt","reflexive tt",2,0,105,105,0.5,0.5
"27139","Native",6,8,"reflexive","tt","reflexive tt",1,0,217,217,0.5,-0.5
"27141","Native",6,24,"reflexive","tt","reflexive tt",1,0,132,132,0.5,-0.5
"27143","Native",6,11,"reflexive","tt","reflexive tt",4,1,0,NA,-0.5,0.5
"27145","Native",6,16,"reflexive","tt","reflexive tt",1,0,176,176,0.5,-0.5
"27147","Native",6,21,"reflexive","tt","reflexive tt",2,0,299,299,0.5,0.5
"27149","Native",6,13,"reflexive","tt","reflexive tt",2,0,300,300,0.5,0.5
"27151","Native",6,7,"reflexive","tt","reflexive tt",4,1,0,NA,-0.5,0.5
"27153","Native",6,19,"reflexive","tt","reflexive tt",4,1,0,NA,-0.5,0.5
"27155","Native",6,23,"reflexive","tt","reflexive tt",4,0,130,130,-0.5,0.5
"27157","Native",6,1,"reflexive","tt","reflexive tt",2,0,296,296,0.5,0.5
"27159","Native",6,6,"reflexive","tt","reflexive tt",3,0,209,209,-0.5,-0.5
"27161","Native",6,4,"reflexive","tt","reflexive tt",1,1,0,NA,0.5,-0.5
"27163","Native",6,20,"reflexive","tt","reflexive tt",1,1,0,NA,0.5,-0.5
"27165","Native",6,10,"reflexive","tt","reflexive tt",3,0,356,356,-0.5,-0.5
"27167","Native",6,18,"reflexive","tt","reflexive tt",3,1,0,NA,-0.5,-0.5
"27170","Native",7,16,"reflexive","tt","reflexive tt",2,0,164,164,0.5,0.5
"27172","Native",7,14,"reflexive","tt","reflexive tt",4,0,353,353,-0.5,0.5
"27174","Native",7,12,"reflexive","tt","reflexive tt",2,0,1233,1233,0.5,0.5
"27176","Native",7,20,"reflexive","tt","reflexive tt",2,0,1065,1065,0.5,0.5
