"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"1922","Native",1,24,"spillover1","fp","spillover1 fp",4,0,364,364,-0.5,0.5
"1924","Native",1,12,"spillover1","fp","spillover1 fp",4,0,272,272,-0.5,0.5
"1926","Native",1,6,"spillover1","fp","spillover1 fp",2,0,161,161,0.5,0.5
"1928","Native",1,7,"spillover1","fp","spillover1 fp",3,1,0,NA,-0.5,-0.5
"1930","Native",1,14,"spillover1","fp","spillover1 fp",2,0,175,175,0.5,0.5
"1932","Native",1,21,"spillover1","fp","spillover1 fp",1,0,195,195,0.5,-0.5
"1934","Native",1,19,"spillover1","fp","spillover1 fp",3,0,206,206,-0.5,-0.5
"1936","Native",1,17,"spillover1","fp","spillover1 fp",1,0,265,265,0.5,-0.5
"1938","Native",1,10,"spillover1","fp","spillover1 fp",2,0,185,185,0.5,0.5
"1940","Native",1,23,"spillover1","fp","spillover1 fp",3,0,290,290,-0.5,-0.5
"1942","Native",1,15,"spillover1","fp","spillover1 fp",3,0,195,195,-0.5,-0.5
"1944","Native",1,1,"spillover1","fp","spillover1 fp",1,0,179,179,0.5,-0.5
"1946","Native",1,2,"spillover1","fp","spillover1 fp",2,0,209,209,0.5,0.5
"1948","Native",1,5,"spillover1","fp","spillover1 fp",1,0,408,408,0.5,-0.5
"1950","Native",1,16,"spillover1","fp","spillover1 fp",4,0,233,233,-0.5,0.5
"1952","Native",1,3,"spillover1","fp","spillover1 fp",3,0,545,545,-0.5,-0.5
"1954","Native",1,13,"spillover1","fp","spillover1 fp",1,0,197,197,0.5,-0.5
"1956","Native",1,11,"spillover1","fp","spillover1 fp",3,0,220,220,-0.5,-0.5
"1958","Native",1,9,"spillover1","fp","spillover1 fp",1,0,178,178,0.5,-0.5
"1960","Native",1,8,"spillover1","fp","spillover1 fp",4,0,442,442,-0.5,0.5
"1962","Native",1,4,"spillover1","fp","spillover1 fp",4,0,224,224,-0.5,0.5
"1964","Native",1,20,"spillover1","fp","spillover1 fp",4,0,341,341,-0.5,0.5
"1966","Native",1,18,"spillover1","fp","spillover1 fp",2,0,266,266,0.5,0.5
"1968","Native",1,22,"spillover1","fp","spillover1 fp",2,0,433,433,0.5,0.5
"1970","Native",2,14,"spillover1","fp","spillover1 fp",3,0,208,208,-0.5,-0.5
"1972","Native",2,4,"spillover1","fp","spillover1 fp",1,0,532,532,0.5,-0.5
"1974","Native",2,19,"spillover1","fp","spillover1 fp",4,0,195,195,-0.5,0.5
"1976","Native",2,1,"spillover1","fp","spillover1 fp",2,0,205,205,0.5,0.5
"1978","Native",2,5,"spillover1","fp","spillover1 fp",2,0,420,420,0.5,0.5
"1980","Native",2,15,"spillover1","fp","spillover1 fp",4,0,332,332,-0.5,0.5
"1982","Native",2,7,"spillover1","fp","spillover1 fp",4,1,0,NA,-0.5,0.5
"1984","Native",2,18,"spillover1","fp","spillover1 fp",3,0,288,288,-0.5,-0.5
"1986","Native",2,6,"spillover1","fp","spillover1 fp",3,0,184,184,-0.5,-0.5
"1988","Native",2,22,"spillover1","fp","spillover1 fp",3,0,166,166,-0.5,-0.5
"1990","Native",2,10,"spillover1","fp","spillover1 fp",3,1,0,NA,-0.5,-0.5
"1992","Native",2,8,"spillover1","fp","spillover1 fp",1,0,248,248,0.5,-0.5
"1994","Native",2,24,"spillover1","fp","spillover1 fp",1,0,499,499,0.5,-0.5
"1996","Native",2,17,"spillover1","fp","spillover1 fp",2,0,192,192,0.5,0.5
"1998","Native",2,2,"spillover1","fp","spillover1 fp",3,0,211,211,-0.5,-0.5
"2000","Native",2,11,"spillover1","fp","spillover1 fp",4,0,250,250,-0.5,0.5
"2002","Native",2,3,"spillover1","fp","spillover1 fp",4,0,162,162,-0.5,0.5
"2004","Native",2,21,"spillover1","fp","spillover1 fp",2,0,183,183,0.5,0.5
"2006","Native",2,20,"spillover1","fp","spillover1 fp",1,0,194,194,0.5,-0.5
"2008","Native",2,16,"spillover1","fp","spillover1 fp",1,1,0,NA,0.5,-0.5
"2010","Native",2,13,"spillover1","fp","spillover1 fp",2,0,198,198,0.5,0.5
"2012","Native",2,9,"spillover1","fp","spillover1 fp",2,0,161,161,0.5,0.5
"2014","Native",2,12,"spillover1","fp","spillover1 fp",1,0,457,457,0.5,-0.5
"2016","Native",2,23,"spillover1","fp","spillover1 fp",4,0,366,366,-0.5,0.5
"2017","Native",3,11,"spillover1","fp","spillover1 fp",1,0,373,373,0.5,-0.5
"2019","Native",3,21,"spillover1","fp","spillover1 fp",3,0,343,343,-0.5,-0.5
"2021","Native",3,2,"spillover1","fp","spillover1 fp",4,0,585,585,-0.5,0.5
"2023","Native",3,20,"spillover1","fp","spillover1 fp",2,0,284,284,0.5,0.5
"2025","Native",3,9,"spillover1","fp","spillover1 fp",3,0,274,274,-0.5,-0.5
"2027","Native",3,4,"spillover1","fp","spillover1 fp",2,0,175,175,0.5,0.5
"2029","Native",3,3,"spillover1","fp","spillover1 fp",1,0,637,637,0.5,-0.5
"2031","Native",3,1,"spillover1","fp","spillover1 fp",3,0,327,327,-0.5,-0.5
"2033","Native",3,13,"spillover1","fp","spillover1 fp",3,0,326,326,-0.5,-0.5
"2035","Native",3,18,"spillover1","fp","spillover1 fp",4,0,384,384,-0.5,0.5
"2037","Native",3,7,"spillover1","fp","spillover1 fp",1,0,757,757,0.5,-0.5
"2039","Native",3,5,"spillover1","fp","spillover1 fp",3,0,318,318,-0.5,-0.5
"2041","Native",3,15,"spillover1","fp","spillover1 fp",1,0,218,218,0.5,-0.5
"2043","Native",3,16,"spillover1","fp","spillover1 fp",2,0,306,306,0.5,0.5
"2045","Native",3,8,"spillover1","fp","spillover1 fp",2,0,176,176,0.5,0.5
"2047","Native",3,22,"spillover1","fp","spillover1 fp",4,0,189,189,-0.5,0.5
"2049","Native",3,17,"spillover1","fp","spillover1 fp",3,0,419,419,-0.5,-0.5
"2051","Native",3,19,"spillover1","fp","spillover1 fp",1,0,116,116,0.5,-0.5
"2053","Native",3,23,"spillover1","fp","spillover1 fp",1,0,785,785,0.5,-0.5
"2055","Native",3,14,"spillover1","fp","spillover1 fp",4,0,446,446,-0.5,0.5
"2057","Native",3,24,"spillover1","fp","spillover1 fp",2,0,416,416,0.5,0.5
"2059","Native",3,10,"spillover1","fp","spillover1 fp",4,0,403,403,-0.5,0.5
"2061","Native",3,12,"spillover1","fp","spillover1 fp",2,0,195,195,0.5,0.5
"2063","Native",3,6,"spillover1","fp","spillover1 fp",4,0,200,200,-0.5,0.5
"2065","Native",4,21,"spillover1","fp","spillover1 fp",4,0,338,338,-0.5,0.5
"2067","Native",4,14,"spillover1","fp","spillover1 fp",1,0,244,244,0.5,-0.5
"2069","Native",4,22,"spillover1","fp","spillover1 fp",1,0,351,351,0.5,-0.5
"2071","Native",4,11,"spillover1","fp","spillover1 fp",2,0,223,223,0.5,0.5
"2073","Native",4,15,"spillover1","fp","spillover1 fp",2,0,361,361,0.5,0.5
"2075","Native",4,23,"spillover1","fp","spillover1 fp",2,0,268,268,0.5,0.5
"2077","Native",4,18,"spillover1","fp","spillover1 fp",1,0,342,342,0.5,-0.5
"2079","Native",4,6,"spillover1","fp","spillover1 fp",1,0,248,248,0.5,-0.5
"2081","Native",4,10,"spillover1","fp","spillover1 fp",1,0,155,155,0.5,-0.5
"2083","Native",4,12,"spillover1","fp","spillover1 fp",3,0,347,347,-0.5,-0.5
"2085","Native",4,19,"spillover1","fp","spillover1 fp",2,0,240,240,0.5,0.5
"2087","Native",4,1,"spillover1","fp","spillover1 fp",4,0,173,173,-0.5,0.5
"2089","Native",4,20,"spillover1","fp","spillover1 fp",3,0,254,254,-0.5,-0.5
"2091","Native",4,16,"spillover1","fp","spillover1 fp",3,0,194,194,-0.5,-0.5
"2093","Native",4,2,"spillover1","fp","spillover1 fp",1,0,270,270,0.5,-0.5
"2095","Native",4,5,"spillover1","fp","spillover1 fp",4,0,167,167,-0.5,0.5
"2097","Native",4,17,"spillover1","fp","spillover1 fp",4,0,808,808,-0.5,0.5
"2099","Native",4,24,"spillover1","fp","spillover1 fp",3,0,149,149,-0.5,-0.5
"2101","Native",4,13,"spillover1","fp","spillover1 fp",4,0,313,313,-0.5,0.5
"2103","Native",4,8,"spillover1","fp","spillover1 fp",3,0,235,235,-0.5,-0.5
"2105","Native",4,9,"spillover1","fp","spillover1 fp",4,0,484,484,-0.5,0.5
"2107","Native",4,7,"spillover1","fp","spillover1 fp",2,0,277,277,0.5,0.5
"2109","Native",4,4,"spillover1","fp","spillover1 fp",3,0,362,362,-0.5,-0.5
"2111","Native",4,3,"spillover1","fp","spillover1 fp",2,1,0,NA,0.5,0.5
"2114","Native",5,8,"spillover1","fp","spillover1 fp",4,0,173,173,-0.5,0.5
"2116","Native",5,4,"spillover1","fp","spillover1 fp",4,0,449,449,-0.5,0.5
"2118","Native",5,19,"spillover1","fp","spillover1 fp",3,0,342,342,-0.5,-0.5
"2120","Native",5,21,"spillover1","fp","spillover1 fp",1,0,618,618,0.5,-0.5
"2122","Native",5,13,"spillover1","fp","spillover1 fp",1,0,401,401,0.5,-0.5
"2124","Native",5,9,"spillover1","fp","spillover1 fp",1,1,0,NA,0.5,-0.5
"2126","Native",5,3,"spillover1","fp","spillover1 fp",3,0,201,201,-0.5,-0.5
"2128","Native",5,12,"spillover1","fp","spillover1 fp",4,0,287,287,-0.5,0.5
"2130","Native",5,2,"spillover1","fp","spillover1 fp",2,1,0,NA,0.5,0.5
"2132","Native",5,15,"spillover1","fp","spillover1 fp",3,0,160,160,-0.5,-0.5
"2134","Native",5,5,"spillover1","fp","spillover1 fp",1,0,333,333,0.5,-0.5
"2136","Native",5,7,"spillover1","fp","spillover1 fp",3,1,0,NA,-0.5,-0.5
